pais,anio,pbi,sancionado_USA,tipo_financiera,tipo_comercial,tipo_armamento,motivo_militar,poblacion,pbi_per_capita,exportaciones_pct_pbi,conflicto_armado
Afghanistan,2001,-9.4319740700862,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2002,28.6000011706788,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2003,8.83227780288267,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2004,1.41411799339429,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2005,11.2297148272859,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2006,5.35740324748592,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2007,13.8263195471281,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2008,3.92498381999467,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2009,21.3905283926492,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2010,14.3624414710737,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2011,0.426354776777345,1,0,0,1,1,NA,NA,NA,NA
Afghanistan,2012,12.7522870926697,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2013,5.60074465863221,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2014,2.72454336219565,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2015,1.45131466066431,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2016,2.26031420279821,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2017,2.6470032027451,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2018,1.18922812944517,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2019,3.91160341625552,0,0,0,0,0,NA,NA,NA,NA
Afghanistan,2020,-2.35110067203466,0,0,0,0,0,NA,NA,NA,NA
Albania,2001,8.29331263121023,0,0,0,0,0,NA,NA,NA,NA
Albania,2002,4.53652416035675,0,0,0,0,0,NA,NA,NA,NA
Albania,2003,5.52863746491788,0,0,0,0,0,NA,NA,NA,NA
Albania,2004,5.51466791097914,0,0,0,0,0,NA,NA,NA,NA
Albania,2005,5.52642424695465,0,0,0,0,0,NA,NA,NA,NA
Albania,2006,5.90265903591924,0,0,0,0,0,NA,NA,NA,NA
Albania,2007,5.98325951855567,0,0,0,0,0,NA,NA,NA,NA
Albania,2008,7.50004143020151,0,0,0,0,0,NA,NA,NA,NA
Albania,2009,3.35428934987461,0,0,0,0,0,NA,NA,NA,NA
Albania,2010,3.70693815255319,0,0,0,0,0,NA,NA,NA,NA
Albania,2011,2.54540614450104,0,0,0,0,0,NA,NA,NA,NA
Albania,2012,1.4172427999078,0,0,0,0,0,NA,NA,NA,NA
Albania,2013,1.00201754071108,0,0,0,0,0,NA,NA,NA,NA
Albania,2014,1.77444885260394,0,0,0,0,0,NA,NA,NA,NA
Albania,2015,2.21872637517804,0,0,0,0,0,NA,NA,NA,NA
Albania,2016,3.31498068384137,0,0,0,0,0,NA,NA,NA,NA
Albania,2017,3.80259872019053,0,0,0,0,0,NA,NA,NA,NA
Albania,2018,4.01934561695576,0,0,0,0,0,NA,NA,NA,NA
Albania,2019,2.06256753999989,0,0,0,0,0,NA,NA,NA,NA
Albania,2020,-3.31371614712083,0,0,0,0,0,NA,NA,NA,NA
Algeria,2001,2.99999999909851,0,0,0,0,0,NA,NA,NA,NA
Algeria,2002,5.40000000000001,0,0,0,0,0,NA,NA,NA,NA
Algeria,2003,6.5,0,0,0,0,0,NA,NA,NA,NA
Algeria,2004,4.50000000000001,0,0,0,0,0,NA,NA,NA,NA
Algeria,2005,5.39999999999989,0,0,0,0,0,NA,NA,NA,NA
Algeria,2006,2.90000000000011,0,0,0,0,0,NA,NA,NA,NA
Algeria,2007,3.09999999999988,0,0,0,0,0,NA,NA,NA,NA
Algeria,2008,2.5000000000001,0,0,0,0,0,NA,NA,NA,NA
Algeria,2009,1.19999999999996,0,0,0,0,0,NA,NA,NA,NA
Algeria,2010,4.80000000000005,0,0,0,0,0,NA,NA,NA,NA
Algeria,2011,2.99999999999984,0,0,0,0,0,NA,NA,NA,NA
Algeria,2012,2.40000000000005,0,0,0,0,0,NA,NA,NA,NA
Algeria,2013,2.60000000000001,0,0,0,0,0,NA,NA,NA,NA
Algeria,2014,4.09999999999997,0,0,0,0,0,NA,NA,NA,NA
Algeria,2015,3.20000000000009,0,0,0,0,0,NA,NA,NA,NA
Algeria,2016,3.89999999999995,0,0,0,0,0,NA,NA,NA,NA
Algeria,2017,1.50000000000003,0,0,0,0,0,NA,NA,NA,NA
Algeria,2018,1.40000000000002,0,0,0,0,0,NA,NA,NA,NA
Algeria,2019,0.899999999999949,0,0,0,0,0,NA,NA,NA,NA
Algeria,2020,-4.99999999999997,0,0,0,0,0,NA,NA,NA,NA
American Samoa,2001,..,0,0,0,0,0,NA,NA,NA,NA
American Samoa,2002,..,0,0,0,0,0,NA,NA,NA,NA
American Samoa,2003,0.965517241379317,0,0,0,0,0,NA,NA,NA,NA
American Samoa,2004,0.409836065573771,0,0,0,0,0,NA,NA,NA,NA
